"A","B","C"
"Graham ScanAll Hull Points","1320","0.0025"
"Graham ScanAll Hull Points","1330","0.0026"
"Graham ScanAll Hull Points","1340","0.0026"
"Graham ScanAll Hull Points","1350","0.0026"
"Graham ScanAll Hull Points","1360","0.0026"
"Graham ScanAll Hull Points","1370","0.0026"
"Graham ScanAll Hull Points","1380","0.0026"
"Graham ScanAll Hull Points","1390","0.0026"
"Graham ScanAll Hull Points","1400","0.0026"
"Graham ScanAll Hull Points","1410","0.0026"
"Graham ScanAll Hull Points","1420","0.0027"
"Graham ScanAll Hull Points","1430","0.0029"
"Graham ScanAll Hull Points","1440","0.0029"
"Graham ScanAll Hull Points","1450","0.0026"
"Graham ScanAll Hull Points","1460","0.003"
"Graham ScanAll Hull Points","1470","0.0028"
"Graham ScanAll Hull Points","1480","0.0028"
"Graham ScanAll Hull Points","1490","0.0029"
"Graham ScanAll Hull Points","1500","0.0028"
"Graham ScanAll Hull Points","1510","0.0028"
"Graham ScanAll Hull Points","1520","0.003"
"Graham ScanAll Hull Points","1530","0.0028"
"Graham ScanAll Hull Points","1540","0.0077"
"Graham ScanAll Hull Points","1550","0.0035"
"Graham ScanAll Hull Points","1560","0.0051"
"Graham ScanAll Hull Points","1570","0.0049"
"Graham ScanAll Hull Points","1580","0.0034"
"Graham ScanAll Hull Points","1590","0.0035"
"Graham ScanAll Hull Points","1600","0.0031"
"Graham ScanAll Hull Points","1610","0.003"
"Graham ScanAll Hull Points","1620","0.0032"
"Graham ScanAll Hull Points","1630","0.003"
"Graham ScanAll Hull Points","1640","0.003"
"Graham ScanAll Hull Points","1650","0.0031"
"Graham ScanAll Hull Points","1660","0.0031"
"Graham ScanAll Hull Points","1670","0.0033"
"Graham ScanAll Hull Points","1680","0.0031"
"Graham ScanAll Hull Points","1690","0.0033"
"Graham ScanAll Hull Points","1700","0.0032"
"Graham ScanAll Hull Points","1710","0.0033"
"Graham ScanAll Hull Points","1720","0.0032"
"Graham ScanAll Hull Points","1730","0.0034"
"Graham ScanAll Hull Points","1740","0.0033"
"Graham ScanAll Hull Points","1750","0.0032"
"Graham ScanAll Hull Points","1760","0.0036"
"Graham ScanAll Hull Points","1770","0.0033"
"Graham ScanAll Hull Points","1780","0.0033"
"Graham ScanAll Hull Points","1790","0.0033"
"Graham ScanAll Hull Points","1800","0.0034"
"Graham ScanAll Hull Points","1810","0.0037"
"Graham ScanAll Hull Points","1820","0.0033"
"Graham ScanAll Hull Points","1830","0.0034"
"Graham ScanAll Hull Points","1840","0.0038"
"Graham ScanAll Hull Points","1850","0.0035"
"Graham ScanAll Hull Points","1860","0.0037"
"Graham ScanAll Hull Points","1870","0.0035"
"Graham ScanAll Hull Points","1880","0.0035"
"Graham ScanAll Hull Points","1890","0.0039"
"Graham ScanAll Hull Points","1900","0.0036"
"Graham ScanAll Hull Points","1910","0.0037"
"Graham ScanAll Hull Points","1920","0.0037"
"Graham ScanAll Hull Points","1930","0.0036"
"Graham ScanAll Hull Points","1940","0.0039"
"Graham ScanAll Hull Points","1950","0.0036"
"Graham ScanAll Hull Points","1960","0.0039"
"Graham ScanAll Hull Points","1970","0.0036"
"Graham ScanAll Hull Points","1980","0.0038"
"Graham ScanAll Hull Points","1990","0.0037"
"Graham ScanAll Hull Points","2000","0.0042"
"Graham ScanAll Hull Points","2010","0.0042"
"Graham ScanAll Hull Points","2020","0.0037"
"Graham ScanAll Hull Points","2030","0.004"
"Graham ScanAll Hull Points","2040","0.0042"
"Graham ScanAll Hull Points","2050","0.0041"
"Graham ScanAll Hull Points","2060","0.004"
"Graham ScanAll Hull Points","2070","0.004"
"Graham ScanAll Hull Points","2080","0.004"
"Graham ScanAll Hull Points","2090","0.004"
"Graham ScanAll Hull Points","2100","0.0042"
"Graham ScanAll Hull Points","2110","0.0041"
"Graham ScanAll Hull Points","2120","0.005"
"Graham ScanAll Hull Points","2130","0.0042"
"Graham ScanAll Hull Points","2140","0.0042"
"Graham ScanAll Hull Points","2150","0.0042"
"Graham ScanAll Hull Points","2160","0.0044"
"Graham ScanAll Hull Points","2170","0.0043"
"Graham ScanAll Hull Points","2180","0.0042"
"Graham ScanAll Hull Points","2190","0.0043"
"Graham ScanAll Hull Points","2200","0.0042"
"Graham ScanAll Hull Points","2210","0.0044"
"Graham ScanAll Hull Points","2220","0.004"
"Graham ScanAll Hull Points","2230","0.0045"
"Graham ScanAll Hull Points","2240","0.0043"
"Graham ScanAll Hull Points","2250","0.0046"
"Graham ScanAll Hull Points","2260","0.0042"
"Graham ScanAll Hull Points","2270","0.0044"
"Graham ScanAll Hull Points","2280","0.0042"
"Graham ScanAll Hull Points","2290","0.0051"
"Graham ScanAll Hull Points","2300","0.0092"
"Graham ScanAll Hull Points","2310","0.0067"
